Name,Population 2023,Area,Population Density
ABU HAIL,18298,1.273818524,14364.68355
AL AWIR FIRST,5997,39.71477406,151.0017403
AL AWIR SECOND,6262,54.94370999,113.9711898
AL BADA',60857,1.984698385,30663.09745
AL BARAHA,26520,1.025324425,25864.98415
AL BARSHA FIRST,43201,3.954247137,10925.21497
AL BARSHA SECOND,17208,6.411345433,2683.992023
AL BARSHA SOUTH FIFTH,8780,2.950968501,2975.294381
AL BARSHA SOUTH FIRST,15127,5.900181114,2563.819603
AL BARSHA SOUTH FOURTH,31371,6.803106784,4611.275553
AL BARSHA SOUTH SECOND,7637,4.767341356,1601.941088
AL BARSHA SOUTH THIRD,12022,3.74367411,3211.283794
AL BARSHA THIRD,16103,4.94676896,3255.256134
AL BUTEEN,3106,0.147788037,21016.58607
AL CORNICHE,3202,0.61132507,5237.802532
AL DAGHAYA,16968,0.176578481,96093.24945
AL FAGAA,460,140.5277214,3.273375497
AL GARHOUD,20887,4.042863418,5166.387741
AL HAMRIYA,39228,0.827901532,47382.44643
AL HAMRIYA PORT,526,0.920801743,571.2413164
AL HATHMAH,40,82.25254999,0.486307112
AL HEBIAH FIFTH,10988,8.093169888,1357.688045
AL HEBIAH FIRST,11896,4.176687563,2848.19006
AL HEBIAH FOURTH,22859,9.145628962,2499.445374
AL HEBIAH SECOND,1861,3.261113579,570.6639634
AL HEBIAH SIXTH,2574,3.268495931,787.5181901
AL HEBIAH THIRD,8193,4.304719752,1903.259788
AL HUDAIBA,15290,0.882340612,17328.90881
AL JADAF,7747,7.240359373,1069.974514
AL JAFILIYA,26199,1.669478537,15692.92412
AL KARAMA,78001,2.106963902,37020.56781
AL KHABAISI,2122,1.226749122,1729.775031
AL KHEERAN,5395,6.313607684,854.5035216
AL KHEERAN FIRST,4226,7.334263329,576.199655
AL KHWANEEJ FIRST,14418,16.41118298,878.5472698
AL KHWANEEJ SECOND,6370,12.69395624,501.8136097
AL KIFAF,1466,0.795645627,1842.528823
AL LAYAN 1,300,28.3352494,10.5875193
AL LAYAN 2,0,36.99664351,0
AL LESAILY,3088,112.7010957,27.39991107
