Community,hour,avg_per_hour
ABU HAIL,0,0.15950920245398773
ABU HAIL,1,0.15950920245398773
ABU HAIL,2,0.0736196319018405
ABU HAIL,3,0.10429447852760736
ABU HAIL,4,0.049079754601226995
ABU HAIL,5,0.0736196319018405
ABU HAIL,6,0.09815950920245399
ABU HAIL,7,0.147239263803681
ABU HAIL,8,0.17791411042944785
ABU HAIL,9,0.11042944785276074
ABU HAIL,10,0.08588957055214724
ABU HAIL,11,0.09815950920245399
ABU HAIL,12,0.04294478527607362
ABU HAIL,13,0.09202453987730061
ABU HAIL,14,0.08588957055214724
ABU HAIL,15,0.10429447852760736
ABU HAIL,16,0.09202453987730061
ABU HAIL,17,0.09815950920245399
ABU HAIL,18,0.10429447852760736
ABU HAIL,19,0.09202453987730061
ABU HAIL,20,0.07975460122699386
ABU HAIL,21,0.09815950920245399
ABU HAIL,22,0.09202453987730061
ABU HAIL,23,0.1411042944785276
AL AWIR FIRST,0,0.043478260869565216
AL AWIR FIRST,1,0.028985507246376812
AL AWIR FIRST,2,0.028985507246376812
AL AWIR FIRST,3,0.057971014492753624
AL AWIR FIRST,4,0.036231884057971016
AL AWIR FIRST,5,0.036231884057971016
AL AWIR FIRST,6,0.043478260869565216
AL AWIR FIRST,7,0.028985507246376812
AL AWIR FIRST,8,0.07246376811594203
AL AWIR FIRST,9,0.07246376811594203
AL AWIR FIRST,10,0.050724637681159424
AL AWIR FIRST,11,0.07246376811594203
AL AWIR FIRST,12,0.07971014492753623
AL AWIR FIRST,13,0.18840579710144928
AL AWIR FIRST,14,0.18840579710144928
AL AWIR FIRST,15,0.07246376811594203
AL AWIR FIRST,16,0.13768115942028986
AL AWIR FIRST,17,0.17391304347826086
AL AWIR FIRST,18,0.13768115942028986
AL AWIR FIRST,19,0.16666666666666666
AL AWIR FIRST,20,0.10869565217391304
AL AWIR FIRST,21,0.10144927536231885
AL AWIR FIRST,22,0.09420289855072464
AL AWIR FIRST,23,0.043478260869565216
AL AWIR SECOND,0,0.03508771929824561
AL AWIR SECOND,1,0.03508771929824561
AL AWIR SECOND,2,0.017543859649122806
AL AWIR SECOND,3,0.017543859649122806
AL AWIR SECOND,4,0.017543859649122806
AL AWIR SECOND,5,0.03508771929824561
AL AWIR SECOND,6,0.017543859649122806
AL AWIR SECOND,7,0.05263157894736842
AL AWIR SECOND,9,0.03508771929824561
AL AWIR SECOND,10,0.10526315789473684
AL AWIR SECOND,11,0.07017543859649122
AL AWIR SECOND,12,0.10526315789473684
AL AWIR SECOND,13,0.017543859649122806
AL AWIR SECOND,14,0.05263157894736842
AL AWIR SECOND,15,0.07017543859649122
AL AWIR SECOND,16,0.05263157894736842
AL AWIR SECOND,17,0.15789473684210525
AL AWIR SECOND,18,0.08771929824561403
AL AWIR SECOND,19,0.12280701754385964
AL AWIR SECOND,20,0.017543859649122806
AL AWIR SECOND,21,0.017543859649122806
AL AWIR SECOND,22,0.03508771929824561
AL AWIR SECOND,23,0.05263157894736842
AL BADA',0,0.14450867052023122
AL BADA',1,0.06358381502890173
AL BADA',2,0.057803468208092484
AL BADA',3,0.05202312138728324
AL BADA',4,0.05202312138728324
AL BADA',5,0.06936416184971098
AL BADA',6,0.06936416184971098
AL BADA',7,0.09248554913294797
AL BADA',8,0.11560693641618497
AL BADA',9,0.08670520231213873
AL BADA',10,0.08092485549132948
AL BADA',11,0.10982658959537572
AL BADA',12,0.15606936416184972
AL BADA',13,0.09826589595375723
AL BADA',14,0.16184971098265896
