Community,week_index,week_start,Accident_Count
ABU HAIL,1,2024-03-06,16
ABU HAIL,2,2024-03-13,19
ABU HAIL,3,2024-03-20,18
ABU HAIL,4,2024-03-27,15
ABU HAIL,5,2024-04-03,9
ABU HAIL,6,2024-04-10,12
ABU HAIL,7,2024-04-17,1
ABU HAIL,8,2024-04-24,0
ABU HAIL,9,2024-05-01,0
ABU HAIL,10,2024-05-08,0
ABU HAIL,11,2024-05-15,0
ABU HAIL,12,2024-05-22,0
ABU HAIL,13,2024-05-29,0
ABU HAIL,14,2024-06-05,1
ABU HAIL,15,2024-06-12,14
ABU HAIL,16,2024-06-19,14
ABU HAIL,17,2024-06-26,20
ABU HAIL,18,2024-07-03,18
ABU HAIL,19,2024-07-10,21
ABU HAIL,20,2024-07-17,30
ABU HAIL,21,2024-07-24,9
ABU HAIL,22,2024-07-31,16
ABU HAIL,23,2024-08-07,19
ABU HAIL,24,2024-08-14,22
ABU HAIL,25,2024-08-21,19
ABU HAIL,26,2024-08-28,13
ABU HAIL,27,2024-09-04,6
ABU HAIL,28,2024-09-11,11
ABU HAIL,29,2024-09-18,26
ABU HAIL,30,2024-09-25,3
AL AWIR FIRST,1,2024-03-06,11
AL AWIR FIRST,2,2024-03-13,9
AL AWIR FIRST,3,2024-03-20,16
AL AWIR FIRST,4,2024-03-27,13
AL AWIR FIRST,5,2024-04-03,11
AL AWIR FIRST,6,2024-04-10,19
AL AWIR FIRST,7,2024-04-17,0
AL AWIR FIRST,8,2024-04-24,0
AL AWIR FIRST,9,2024-05-01,0
AL AWIR FIRST,10,2024-05-08,0
AL AWIR FIRST,11,2024-05-15,0
AL AWIR FIRST,12,2024-05-22,0
AL AWIR FIRST,13,2024-05-29,0
AL AWIR FIRST,14,2024-06-05,2
AL AWIR FIRST,15,2024-06-12,7
AL AWIR FIRST,16,2024-06-19,9
AL AWIR FIRST,17,2024-06-26,9
AL AWIR FIRST,18,2024-07-03,15
AL AWIR FIRST,19,2024-07-10,3
AL AWIR FIRST,20,2024-07-17,9
AL AWIR FIRST,21,2024-07-24,12
AL AWIR FIRST,22,2024-07-31,5
AL AWIR FIRST,23,2024-08-07,12
AL AWIR FIRST,24,2024-08-14,7
AL AWIR FIRST,25,2024-08-21,8
AL AWIR FIRST,26,2024-08-28,19
AL AWIR FIRST,27,2024-09-04,4
AL AWIR FIRST,28,2024-09-11,5
AL AWIR FIRST,29,2024-09-18,9
AL AWIR FIRST,30,2024-09-25,4
AL AWIR SECOND,1,2024-03-06,4
AL AWIR SECOND,2,2024-03-13,2
AL AWIR SECOND,3,2024-03-20,3
AL AWIR SECOND,4,2024-03-27,1
AL AWIR SECOND,5,2024-04-03,3
AL AWIR SECOND,6,2024-04-10,5
AL AWIR SECOND,7,2024-04-17,0
AL AWIR SECOND,8,2024-04-24,0
AL AWIR SECOND,9,2024-05-01,0
AL AWIR SECOND,10,2024-05-08,0
AL AWIR SECOND,11,2024-05-15,0
AL AWIR SECOND,12,2024-05-22,0
AL AWIR SECOND,13,2024-05-29,0
AL AWIR SECOND,14,2024-06-05,0
AL AWIR SECOND,15,2024-06-12,2
AL AWIR SECOND,16,2024-06-19,2
AL AWIR SECOND,17,2024-06-26,3
AL AWIR SECOND,18,2024-07-03,2
AL AWIR SECOND,19,2024-07-10,2
AL AWIR SECOND,20,2024-07-17,0
AL AWIR SECOND,21,2024-07-24,3
AL AWIR SECOND,22,2024-07-31,0
AL AWIR SECOND,23,2024-08-07,3
AL AWIR SECOND,24,2024-08-14,6
AL AWIR SECOND,25,2024-08-21,2
AL AWIR SECOND,26,2024-08-28,4
AL AWIR SECOND,27,2024-09-04,1
AL AWIR SECOND,28,2024-09-11,2
AL AWIR SECOND,29,2024-09-18,4
AL AWIR SECOND,30,2024-09-25,0
AL BADA',1,2024-03-06,11
AL BADA',2,2024-03-13,15
AL BADA',3,2024-03-20,20
AL BADA',4,2024-03-27,21
AL BADA',5,2024-04-03,10
AL BADA',6,2024-04-10,28
AL BADA',7,2024-04-17,0
AL BADA',8,2024-04-24,0
AL BADA',9,2024-05-01,0
AL BADA',10,2024-05-08,0
AL BADA',11,2024-05-15,0
AL BADA',12,2024-05-22,0
AL BADA',13,2024-05-29,0
AL BADA',14,2024-06-05,5
AL BADA',15,2024-06-12,25
AL BADA',16,2024-06-19,17
AL BADA',17,2024-06-26,26
AL BADA',18,2024-07-03,23
AL BADA',19,2024-07-10,16
AL BADA',20,2024-07-17,14
AL BADA',21,2024-07-24,21
AL BADA',22,2024-07-31,17
AL BADA',23,2024-08-07,12
AL BADA',24,2024-08-14,21
AL BADA',25,2024-08-21,20
AL BADA',26,2024-08-28,24
AL BADA',27,2024-09-04,3
AL BADA',28,2024-09-11,13
AL BADA',29,2024-09-18,17
AL BADA',30,2024-09-25,0
AL BARAHA,1,2024-03-06,4
AL BARAHA,2,2024-03-13,5
AL BARAHA,3,2024-03-20,5
AL BARAHA,4,2024-03-27,4
AL BARAHA,5,2024-04-03,6
AL BARAHA,6,2024-04-10,4
AL BARAHA,7,2024-04-17,0
AL BARAHA,8,2024-04-24,0
AL BARAHA,9,2024-05-01,0
AL BARAHA,10,2024-05-08,0
AL BARAHA,11,2024-05-15,0
AL BARAHA,12,2024-05-22,0
AL BARAHA,13,2024-05-29,0
AL BARAHA,14,2024-06-05,5
AL BARAHA,15,2024-06-12,4
AL BARAHA,16,2024-06-19,1
AL BARAHA,17,2024-06-26,3
AL BARAHA,18,2024-07-03,8
AL BARAHA,19,2024-07-10,2
AL BARAHA,20,2024-07-17,5
AL BARAHA,21,2024-07-24,10
AL BARAHA,22,2024-07-31,9
AL BARAHA,23,2024-08-07,7
AL BARAHA,24,2024-08-14,6
AL BARAHA,25,2024-08-21,4
AL BARAHA,26,2024-08-28,3
AL BARAHA,27,2024-09-04,0
AL BARAHA,28,2024-09-11,4
AL BARAHA,29,2024-09-18,9
AL BARAHA,30,2024-09-25,2
AL BARSHA FIRST,1,2024-03-06,34
AL BARSHA FIRST,2,2024-03-13,31
AL BARSHA FIRST,3,2024-03-20,21
AL BARSHA FIRST,4,2024-03-27,24
AL BARSHA FIRST,5,2024-04-03,15
AL BARSHA FIRST,6,2024-04-10,35
AL BARSHA FIRST,7,2024-04-17,4
AL BARSHA FIRST,8,2024-04-24,0
AL BARSHA FIRST,9,2024-05-01,0
AL BARSHA FIRST,10,2024-05-08,0
AL BARSHA FIRST,11,2024-05-15,0
AL BARSHA FIRST,12,2024-05-22,0
AL BARSHA FIRST,13,2024-05-29,0
AL BARSHA FIRST,14,2024-06-05,5
AL BARSHA FIRST,15,2024-06-12,18
AL BARSHA FIRST,16,2024-06-19,23
AL BARSHA FIRST,17,2024-06-26,26
AL BARSHA FIRST,18,2024-07-03,34
AL BARSHA FIRST,19,2024-07-10,24
AL BARSHA FIRST,20,2024-07-17,22
AL BARSHA FIRST,21,2024-07-24,27
AL BARSHA FIRST,22,2024-07-31,23
AL BARSHA FIRST,23,2024-08-07,33
AL BARSHA FIRST,24,2024-08-14,29
AL BARSHA FIRST,25,2024-08-21,19
AL BARSHA FIRST,26,2024-08-28,37
AL BARSHA FIRST,27,2024-09-04,6
AL BARSHA FIRST,28,2024-09-11,23
AL BARSHA FIRST,29,2024-09-18,38
AL BARSHA FIRST,30,2024-09-25,3
AL BARSHA SECOND,1,2024-03-06,18
AL BARSHA SECOND,2,2024-03-13,7
AL BARSHA SECOND,3,2024-03-20,5
AL BARSHA SECOND,4,2024-03-27,13
AL BARSHA SECOND,5,2024-04-03,8
AL BARSHA SECOND,6,2024-04-10,17
AL BARSHA SECOND,7,2024-04-17,2
AL BARSHA SECOND,8,2024-04-24,0
AL BARSHA SECOND,9,2024-05-01,0
AL BARSHA SECOND,10,2024-05-08,0
AL BARSHA SECOND,11,2024-05-15,0
AL BARSHA SECOND,12,2024-05-22,0
AL BARSHA SECOND,13,2024-05-29,0
AL BARSHA SECOND,14,2024-06-05,2
AL BARSHA SECOND,15,2024-06-12,8
AL BARSHA SECOND,16,2024-06-19,19
AL BARSHA SECOND,17,2024-06-26,12
AL BARSHA SECOND,18,2024-07-03,7
AL BARSHA SECOND,19,2024-07-10,14
AL BARSHA SECOND,20,2024-07-17,16
AL BARSHA SECOND,21,2024-07-24,11
AL BARSHA SECOND,22,2024-07-31,4
AL BARSHA SECOND,23,2024-08-07,11
AL BARSHA SECOND,24,2024-08-14,14
AL BARSHA SECOND,25,2024-08-21,16
AL BARSHA SECOND,26,2024-08-28,19
AL BARSHA SECOND,27,2024-09-04,2
AL BARSHA SECOND,28,2024-09-11,11
AL BARSHA SECOND,29,2024-09-18,12
AL BARSHA SECOND,30,2024-09-25,2
AL BARSHA SOUTH FIFTH,1,2024-03-06,13
AL BARSHA SOUTH FIFTH,2,2024-03-13,7
AL BARSHA SOUTH FIFTH,3,2024-03-20,4
AL BARSHA SOUTH FIFTH,4,2024-03-27,6
AL BARSHA SOUTH FIFTH,5,2024-04-03,10
