week_index,week_start,Accident_Count
1,2023-03-09,1766
2,2023-03-16,1875
3,2023-03-23,1625
4,2023-03-30,1518
5,2023-04-06,1347
6,2023-04-13,1644
7,2023-04-20,1662
8,2023-04-27,927
9,2023-05-04,0
10,2023-05-11,0
11,2023-05-18,0
12,2023-05-25,0
13,2023-06-01,0
14,2023-06-08,0
15,2023-06-15,0
16,2023-06-22,0
17,2023-06-29,0
18,2023-07-06,0
19,2023-07-13,0
20,2023-07-20,0
21,2023-07-27,0
22,2023-08-03,0
23,2023-08-10,0
24,2023-08-17,0
25,2023-08-24,0
26,2023-08-31,0
27,2023-09-07,0
28,2023-09-14,0
29,2023-09-21,0
30,2023-09-28,0
31,2023-10-05,0
32,2023-10-12,0
33,2023-10-19,0
34,2023-10-26,0
35,2023-11-02,0
36,2023-11-09,0
37,2023-11-16,0
38,2023-11-23,0
39,2023-11-30,0
40,2023-12-07,0
41,2023-12-14,0
42,2023-12-21,0
43,2023-12-28,0
44,2024-01-04,0
45,2024-01-11,0
46,2024-01-18,0
47,2024-01-25,0
48,2024-02-01,0
49,2024-02-08,0
50,2024-02-15,0
51,2024-02-22,0
52,2024-02-29,188
53,2024-03-07,2358
54,2024-03-14,1831
55,2024-03-21,1791
56,2024-03-28,1814
57,2024-04-04,1627
58,2024-04-11,2044
59,2024-04-18,0
60,2024-04-25,0
61,2024-05-02,0
62,2024-05-09,0
63,2024-05-16,0
64,2024-05-23,0
65,2024-05-30,0
66,2024-06-06,723
67,2024-06-13,1913
68,2024-06-20,2109
69,2024-06-27,2179
70,2024-07-04,2077
71,2024-07-11,1905
72,2024-07-18,1979
73,2024-07-25,2026
74,2024-08-01,1915
75,2024-08-08,2015
76,2024-08-15,2023
77,2024-08-22,2204
78,2024-08-29,2400
79,2024-09-05,117
80,2024-09-12,1745
81,2024-09-19,2275
